unitid,year,pell_share
154174,2009,0.0
154208,2009,43.0
154235,2009,20.0
154262,2009,100.0
154332,2009,81.0
154341,2009,58.0
154350,2009,29.0
154378,2009,65.0
154396,2009,54.0
154448,2009,86.0
154457,2009,93.0
154466,2009,85.0
154493,2009,85.0
154518,2009,58.0
154527,2009,34.0
154545,2009,55.0
154572,2009,63.0
154590,2009,58.0
154633,2009,83.0
154642,2009,46.0
154651,2009,0.0
154688,2009,27.0
154697,2009,45.0
154712,2009,23.0
154721,2009,34.0
154749,2009,34.0
154767,2009,82.0
154776,2009,69.0
154794,2009,84.0
154800,2009,43.0
154819,2009,83.0
154855,2009,44.0
154907,2009,51.0
154925,2009,47.0
154934,2009,39.0
154943,2009,56.0
154952,2009,54.0
154970,2009,54.0
154998,2009,39.0
155007,2009,67.0
155025,2009,41.0
155052,2009,60.0
155061,2009,37.0
155070,2009,59.0
155089,2009,42.0
155098,2009,55.0
155104,2009,48.0
155140,2009,48.0
155159,2009,53.0
155177,2009,37.0
155186,2009,52.0
155195,2009,38.0
155201,2009,62.0
155210,2009,33.0
155283,2009,76.0
155292,2009,49.0
155317,2009,20.0
155335,2009,34.0
155353,2009,96.0
155399,2009,22.0
155414,2009,43.0
155423,2009,54.0
155441,2009,81.0
155450,2009,41.0
155487,2009,37.0
155496,2009,55.0
155511,2009,29.0
155520,2009,38.0
155566,2009,44.0
155593,2009,56.0
155618,2009,78.0
155627,2009,37.0
155681,2009,35.0
155715,2009,45.0
155812,2009,38.0
155830,2009,46.0
155858,2009,40.0
155867,2009,89.0
155900,2009,47.0
155937,2009,45.0
155973,2009,46.0
156082,2009,39.0
156107,2009,60.0
156125,2009,29.0
156134,2009,88.0
156189,2009,53.0
156213,2009,35.0
156231,2009,63.0
156277,2009,72.0
156286,2009,27.0
156295,2009,90.0
156310,2009,85.0
156338,2009,76.0
156356,2009,44.0
156365,2009,55.0
156392,2009,51.0
156408,2009,15.0
156417,2009,77.0
156426,2009,70.0
156444,2009,100.0
156471,2009,44.0
156541,2009,56.0
156620,2009,43.0
156648,2009,61.0
156675,2009,80.0
156745,2009,35.0
156754,2009,80.0
156790,2009,73.0
