unitid,adoption_year,cohort,n_years_pre,ever_required
129242,,never,0,0
129428,,never,0,0
129491,,never,0,0
129525,2018,pre_covid,9,1
129534,,never,0,1
129774,,never,0,0
129941,2019,pre_covid,10,1
130110,,never,0,0
130183,,never,0,1
130226,2018,pre_covid,9,1
130253,,never,0,1
130314,2016,pre_covid,7,1
130493,,never,0,1
130590,2017,pre_covid,8,1
130624,2017,pre_covid,8,1
130697,2021,covid,12,1
130776,2022,post,13,1
130794,2020,covid,11,1
130882,,never,0,0
130907,,never,0,0
130934,2022,post,13,1
130943,2022,post,13,1
130989,,never,0,1
131098,,never,0,1
131113,,never,0,0
131159,2016,pre_covid,7,1
131283,,never,0,1
131399,,never,0,0
131405,,never,0,0
131450,,never,0,1
131469,2016,pre_covid,7,1
131496,,never,0,1
131520,2021,covid,12,1
131803,,never,0,0
131876,2022,post,13,1
131973,,never,0,0
132408,,never,0,1
132471,,never,0,1
132602,2022,post,9,1
132657,2016,pre_covid,4,1
132693,,never,0,0
132709,,never,0,0
132842,,never,0,0
132851,,never,0,0
132879,2022,post,13,1
132903,,never,0,1
133021,,never,0,0
133386,,never,0,0
133465,,never,0,1
133492,2022,post,13,1
133508,,never,0,0
133526,,never,0,1
133553,2017,pre_covid,8,1
133650,,never,0,1
133669,,never,0,1
133702,,never,0,0
133711,2018,pre_covid,9,1
133809,,never,0,1
133872,,never,0,1
133881,,never,0,1
133951,,never,0,1
133960,,never,0,0
133979,2022,post,13,1
134079,2020,covid,11,1
134097,,never,0,1
134130,,never,0,1
134237,,never,0,0
134343,,never,0,0
134510,,never,0,0
134608,,never,0,0
134811,,never,0,1
134945,2017,pre_covid,8,1
135081,,never,0,1
135160,,never,0,0
135188,,never,0,0
135364,,never,0,0
135391,,never,0,0
135610,,never,0,0
135717,,never,0,0
135726,2021,covid,12,1
136145,,never,0,0
136172,,never,0,1
136215,2020,covid,11,1
136233,,never,0,0
136330,2020,covid,11,1
136358,,never,0,0
136400,,never,0,0
136473,,never,0,0
136516,,never,0,0
136701,,never,0,0
136774,,never,0,1
136950,2022,post,13,1
137032,2016,pre_covid,7,1
137078,,never,0,0
137096,,never,0,0
137209,,never,0,0
137272,,never,0,1
137281,,never,0,0
137315,,never,0,0
137351,,never,0,1
137476,2020,covid,11,1
137546,2021,covid,12,1
137564,2017,pre_covid,4,1
137759,,never,0,0
137777,,never,0,0
137847,2020,covid,11,1
137953,2022,post,13,1
137962,,never,0,1
138187,,never,0,0
138275,2016,pre_covid,7,1
138293,2022,post,13,1
138309,,never,0,1
138354,,never,0,1
138558,2022,post,13,1
138600,2022,post,13,1
138716,2019,pre_covid,9,1
138761,2020,covid,11,1
138813,,never,0,1
138868,2016,pre_covid,7,1
138901,,never,0,1
138929,,never,0,0
138947,2021,covid,12,1
139144,2021,covid,12,1
139153,,never,0,0
139199,2017,pre_covid,8,1
139205,2017,pre_covid,5,1
139250,2021,covid,10,1
