institution,unitid,page_type,original_url,timestamp,ai_addressed,n_ai_terms,text_len,prohibition,prohibition_present,detector_surveillance,detector_surveillance_present,misconduct_framing,misconduct_framing_present,sanction,sanction_present,permitted_use,permitted_use_present,disclosure,disclosure_present,appeal,appeal_present,l2_protection,l2_protection_present,restrictive_idx,procedural_idx,net_restrictiveness,ai_governance_intensity
Toronto Metropolitan University,9000007,ai,https://www.torontomu.ca/academicintegrity/ai/,20230203212608,1,33,921,2,1,5,1,4,1,0,0,1,1,0,0,0,0,0,0,3,1,2,4
Toronto Metropolitan University,9000007,ai,https://www.torontomu.ca/academicintegrity/ai/,20230224011454,1,33,921,2,1,5,1,4,1,0,0,1,1,0,0,0,0,0,0,3,1,2,4
Toronto Metropolitan University,9000007,ai,https://www.torontomu.ca/academicintegrity/ai/,20230315153811,1,33,921,2,1,5,1,4,1,0,0,1,1,0,0,0,0,0,0,3,1,2,4
Toronto Metropolitan University,9000007,ai,https://www.torontomu.ca/academicintegrity/ai/,20230403212318,1,32,893,2,1,3,1,5,1,0,0,1,1,0,0,0,0,0,0,3,1,2,4
Toronto Metropolitan University,9000007,ai,https://www.torontomu.ca/academicintegrity/ai/,20230924141806,1,41,1180,2,1,3,1,5,1,0,0,2,1,0,0,0,0,0,0,3,1,2,4
Toronto Metropolitan University,9000007,ai,https://www.torontomu.ca/academicintegrity/ai/,20240222211636,1,53,1474,5,1,3,1,9,1,0,0,1,1,0,0,0,0,0,0,3,1,2,4
Toronto Metropolitan University,9000007,ai,https://www.torontomu.ca/academicintegrity/ai/,20240623082833,1,51,1510,5,1,3,1,11,1,0,0,2,1,0,0,0,0,0,0,3,1,2,4
Toronto Metropolitan University,9000007,ai,https://www.torontomu.ca/academicintegrity/ai/,20240812144300,1,51,1514,5,1,3,1,11,1,0,0,2,1,0,0,0,0,0,0,3,1,2,4
Toronto Metropolitan University,9000007,ai,https://www.torontomu.ca/academicintegrity/ai/,20240913170208,1,51,1514,5,1,3,1,11,1,0,0,2,1,0,0,0,0,0,0,3,1,2,4
Toronto Metropolitan University,9000007,ai,https://www.torontomu.ca/academicintegrity/ai/,20241013185336,1,51,1510,5,1,3,1,11,1,0,0,2,1,0,0,0,0,0,0,3,1,2,4
