draw,w_achievement,w_grad,w_quality,w_growth,n_identified,mean_poverty_identified,share_identified_top_pov_quartile
216,0.40287965387200175,0.2244007391347612,0.11619379174807587,0.25652581524516116,4915,0.7645791593398373,0.4724313326551373
217,0.3020488772200204,0.22263888807140036,0.1720528309860591,0.3032594037225202,4874,0.7543182012657358,0.44993844891259743
218,0.4288778880756926,0.012365947061600883,0.2620805156827393,0.2966756491799672,4695,0.7451264874091973,0.43599574014909476
219,0.46316208712494306,0.24993004698903235,0.13017802834939513,0.1567298375366293,4796,0.7718642742616346,0.4935362802335279
220,0.3617776190199773,0.18512510779373398,0.1390280270163031,0.31406924616998555,4924,0.7579717083157341,0.45735174654752236
221,0.3563107567316217,0.14934102563605628,0.12682303135390058,0.3675251862784215,4988,0.7526721922923105,0.44386527666399356
222,0.4152009782174365,0.3528910903054929,0.18080788892599745,0.051100042551073116,4693,0.7719169165356293,0.4984018751331771
223,0.35684618085099945,0.0958113887259286,0.14625425510735404,0.40108817531571794,4945,0.7482939553186685,0.4351870576339737
224,0.27466025610066036,0.1680899599918292,0.16826361145471566,0.38898617245279477,4956,0.7474931965234801,0.43341404358353514
225,0.49192414811070506,0.164471851370371,0.1999848751362248,0.1436191253826993,4655,0.7627463974420828,0.47862513426423203
226,0.495723234863665,0.2620159119687176,0.15708550059382034,0.08517535257379719,4698,0.7737535338373962,0.4991485738612175
227,0.34686246317343405,0.09960949783890428,0.2381445888540254,0.31538345013363617,4743,0.7493700443912011,0.4433902593295383
228,0.5186267395978654,0.09538198709318745,0.12494925962240472,0.2610420136865424,4825,0.7617174897413145,0.46756476683937825
229,0.49862324932378577,0.2330198832227157,0.24773036198214807,0.020626505471350472,4563,0.7660302096481307,0.48827525750602674
230,0.42710772752590276,9.865724162287741e-05,0.18627549612547778,0.38651811910699657,4849,0.7422070547534136,0.42565477418024333
231,0.24892859471945336,0.08892418251567186,0.2212250622319988,0.440922160532876,4899,0.7375812533977464,0.4149826495203103
